ticker,period,ratio,value,formula,components,notes
BDCO,2022-12-31,de,4.4037,total_debt / stockholders_equity,stockholders_equity=10588000;total_debt=46626000,
BDCO,2024-12-31,roe,-0.262,net_income / stockholders_equity,net_income=-8636000;stockholders_equity=32963000,
BDCO,2024-12-31,roa,-0.0848,net_income / total_assets,net_income=-8636000;total_assets=101896000,
BDCO,2024-12-31,current_ratio,0.7005,current_assets / current_liabilities,current_assets=44762000;current_liabilities=63901000,
BDCO,2024-12-31,quick_ratio,0.1424,(current_assets - inventory) / current_liabilities,current_assets=44762000;current_liabilities=63901000;inventory=35662000,
BDCO,2023-12-31,gross_margin,0.1128,gross_profit / revenue,gross_profit=44678000;revenue=396048000,
BDCO,2024-12-31,operating_margin,-0.0136,operating_income / revenue,operating_income=-4306000;revenue=317519000,
BDCO,2024-12-31,net_margin,-0.0272,net_income / revenue,net_income=-8636000;revenue=317519000,
BDCO,2024-12-31,eps,-0.58,eps_diluted,eps_diluted=-0.58,
BDCO,2024-12-31,bvps,2.209,stockholders_equity / shares_outstanding,stockholders_equity=32963000;shares_outstanding=14921968,
BDCO,2024-12-31,fcf,-15720000,operating_cash_flow - abs(capex),operating_cash_flow=-15674000;capex=46000,
