ticker,period,ratio,value,formula,components,notes
RTX,2025-12-31,Operating Margin,0.10496258591695541,operating_income / revenue,operating_income=9300000000;revenue=88603000000,
RTX,2025-12-31,Net Margin,0.07597936864440256,net_income / revenue,net_income=6732000000;revenue=88603000000,
RTX,2025-12-31,Return on Equity,0.10435186979267584,net_income / equity_basis,net_income=6732000000;stockholders_equity=67102000000,Average-balance return policy applied without substituting ending-balance fallbacks.
RTX,2025-12-31,Return on Assets,0.04031862011139726,net_income / asset_basis,net_income=6732000000;total_assets=171079000000,Average-balance return policy applied without substituting ending-balance fallbacks.
RTX,2025-12-31,Current Ratio,1.0263336962438758,current_assets / current_liabilities,current_assets=60332000000;current_liabilities=58784000000,
RTX,2025-12-31,Quick Ratio,0.7989929232444203,(current_assets - inventory) / current_liabilities,current_assets=60332000000;inventory=13364000000;current_liabilities=58784000000,Quick ratio excludes reported inventory from current assets.
RTX,2025-12-31,Debt-to-Equity,0.5140234270215492,total_debt / stockholders_equity,total_debt=34492000000;stockholders_equity=67102000000,
RTX,2025-12-31,Asset Turnover,0.5306522129723903,revenue / asset_basis,revenue=88603000000;total_assets=171079000000,Average-balance efficiency policy applied without ending-balance fallback.
RTX,2024-12-31,Operating Margin,0.08097797815155193,operating_income / revenue,operating_income=6538000000;revenue=80738000000,
RTX,2024-12-31,Net Margin,0.059129530084966186,net_income / revenue,net_income=4774000000;revenue=80738000000,
RTX,2024-12-31,Return on Equity,0.07741642544979851,net_income / equity_basis,net_income=4774000000;stockholders_equity=61923000000,Average-balance return policy applied without substituting ending-balance fallbacks.
RTX,2024-12-31,Return on Assets,0.02940288855356758,net_income / asset_basis,net_income=4774000000;total_assets=162861000000,Average-balance return policy applied without substituting ending-balance fallbacks.
RTX,2024-12-31,Current Ratio,0.9928930658847744,current_assets / current_liabilities,current_assets=51133000000;current_liabilities=51499000000,
RTX,2024-12-31,Quick Ratio,0.7449659216683819,(current_assets - inventory) / current_liabilities,current_assets=51133000000;inventory=12768000000;current_liabilities=51499000000,Quick ratio excludes reported inventory from current assets.
RTX,2024-12-31,Debt-to-Equity,0.6283448799315279,total_debt / stockholders_equity,total_debt=38909000000;stockholders_equity=61923000000,
RTX,2024-12-31,Asset Turnover,0.4972623410217719,revenue / asset_basis,revenue=80738000000;total_assets=162861000000,Average-balance efficiency policy applied without ending-balance fallback.
