dataset_type,ticker,company_name,period,period_role,field_key,field_label,value,value_unit,availability_reason,reported_or_derived,form,filed,chart_meaningful,chart_note
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,bvps,Book Value Per Share,6.4718976300197495,USD/shares,derived,derived,,,true,
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,capex,Capital Expenditures,-6042000000,USD,reported,reported,10-K,2026-02-25,true,
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,cash_and_equivalents,Cash & Equivalents,10605000000,USD,reported,reported,10-K,2026-02-25,true,
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,cash_ending,Cash at End of Period,10605000000,USD,reported,reported,10-K,2026-02-25,true,
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,cash_and_equivalents_and_restricted_cash,"Cash, Cash Equivalents & Restricted Cash",10605000000,USD,reported,reported,10-K,2026-02-25,true,
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,cash_and_equivalents_and_short_term_investments,"Cash, Cash Equivalents & Short-Term Investments",,USD,missing_inputs,missing,,,false,
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,eps,Earnings Per Share (Diluted),4.9,USD/shares,reported,derived,,,true,
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,fcf,Free Cash Flow,96676000000,USD,reported,derived,,,true,
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,marketable_securities,Marketable Securities,,USD,missing_inputs,missing,,,false,
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,net_income,Net Income,120067000000,USD,reported,reported,10-K,2026-02-25,true,
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,operating_cash_flow,Operating Cash Flow,102718000000,USD,reported,reported,10-K,2026-02-25,true,
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,restricted_cash,Restricted Cash,,USD,missing_inputs,missing,,,false,
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,revenue,Revenue,215938000000,USD,reported,reported,10-K,2026-02-25,true,
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,short_term_investments,Short-Term Investments,,USD,missing_inputs,missing,,,false,
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,total_assets,Total Assets,206803000000,USD,reported,reported,10-K,2026-02-25,true,
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,total_debt,Total Debt,9467000000,USD,derived,derived,,,true,
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,total_liabilities,Total Liabilities,49510000000,USD,reported,reported,10-K,2026-02-25,true,
metric,NVDA,NVIDIA CORP,2026-01-25,snapshot,stockholders_equity,Total Stockholders' Equity,157293000000,USD,reported,reported,10-K,2026-02-25,true,
ratio,NVDA,NVIDIA CORP,2026-01-25,snapshot,asset_turnover,Asset Turnover,1.356377432444316,ratio,derived,derived,,,true,
ratio,NVDA,NVIDIA CORP,2026-01-25,snapshot,current_ratio,Current Ratio,3.905263812455306,ratio,derived,derived,,,true,
ratio,NVDA,NVIDIA CORP,2026-01-25,snapshot,de,Debt-to-Equity,0.06018703947410247,ratio,derived,derived,,,true,
ratio,NVDA,NVIDIA CORP,2026-01-25,snapshot,gross_margin,Gross Margin,0.7106808435754708,ratio,derived,derived,,,true,
ratio,NVDA,NVIDIA CORP,2026-01-25,snapshot,net_margin,Net Margin,0.5560253406070261,ratio,derived,derived,,,true,
ratio,NVDA,NVIDIA CORP,2026-01-25,snapshot,operating_margin,Operating Margin,0.6038168363141272,ratio,derived,derived,,,true,
ratio,NVDA,NVIDIA CORP,2026-01-25,snapshot,quick_ratio,Quick Ratio,3.239809719242608,ratio,derived,derived,,,true,
ratio,NVDA,NVIDIA CORP,2026-01-25,snapshot,roa,Return on Assets,0.7541802238665344,ratio,derived,derived,,,true,
ratio,NVDA,NVIDIA CORP,2026-01-25,snapshot,roe,Return on Equity,1.014850815653791,ratio,derived,derived,,,true,
metric,WPC,W. P. Carey Inc.,2025-12-31,snapshot,bvps,Book Value Per Share,37.11747694490039,USD/shares,derived,derived,,,true,
